iso3,country,hdicode,region,variable,value,year,variable_name,population,income_level,continent
AFG,Afghanistan,Low,SA,gii,0.678,2021,Gender Inequality Index (value),40099462.0,Low income,Asia
ALB,Albania,High,ECA,gii,0.144,2021,Gender Inequality Index (value),2811666.0,Upper middle income,Europe
DZA,Algeria,High,AS,gii,0.499,2021,Gender Inequality Index (value),44177969.0,Lower middle income,Africa
AGO,Angola,Medium,SSA,gii,0.537,2021,Gender Inequality Index (value),34503774.0,Lower middle income,Africa
ARG,Argentina,Very High,LAC,gii,0.287,2021,Gender Inequality Index (value),45808747.0,Upper middle income,America
ARM,Armenia,High,ECA,gii,0.216,2021,Gender Inequality Index (value),2790974.0,Upper middle income,Asia
AUS,Australia,Very High,,gii,0.073,2021,Gender Inequality Index (value),25688079.0,High income,Oceania
AUT,Austria,Very High,,gii,0.053,2021,Gender Inequality Index (value),8955797.0,High income,Europe
AZE,Azerbaijan,High,ECA,gii,0.294,2021,Gender Inequality Index (value),10137750.0,Upper middle income,Asia
BHS,Bahamas,Very High,LAC,gii,0.329,2021,Gender Inequality Index (value),407906.0,High income,America
BHR,Bahrain,Very High,AS,gii,0.181,2021,Gender Inequality Index (value),1463265.0,High income,Asia
BGD,Bangladesh,Medium,SA,gii,0.53,2021,Gender Inequality Index (value),169356251.0,Lower middle income,Asia
BRB,Barbados,High,LAC,gii,0.268,2021,Gender Inequality Index (value),281200.0,High income,America
BLR,Belarus,Very High,ECA,gii,0.104,2021,Gender Inequality Index (value),9340314.0,Upper middle income,Europe
BEL,Belgium,Very High,,gii,0.048,2021,Gender Inequality Index (value),11592952.0,High income,Europe
BLZ,Belize,Medium,LAC,gii,0.364,2021,Gender Inequality Index (value),400031.0,Upper middle income,America
BEN,Benin,Low,SSA,gii,0.602,2021,Gender Inequality Index (value),12996895.0,Lower middle income,Africa
BTN,Bhutan,Medium,SA,gii,0.415,2021,Gender Inequality Index (value),777486.0,Lower middle income,Asia
BOL,Bolivia (Plurinational State of),Medium,LAC,gii,0.418,2021,Gender Inequality Index (value),12079472.0,Lower middle income,America
BIH,Bosnia and Herzegovina,High,ECA,gii,0.136,2021,Gender Inequality Index (value),3270943.0,Upper middle income,Europe
BWA,Botswana,Medium,SSA,gii,0.468,2021,Gender Inequality Index (value),2588423.0,Upper middle income,Africa
BRA,Brazil,High,LAC,gii,0.39,2021,Gender Inequality Index (value),214326223.0,Upper middle income,America
BRN,Brunei Darussalam,Very High,EAP,gii,0.259,2021,Gender Inequality Index (value),445373.0,High income,Asia
BGR,Bulgaria,High,,gii,0.21,2021,Gender Inequality Index (value),6877743.0,Upper middle income,Europe
BFA,Burkina Faso,Low,SSA,gii,0.621,2021,Gender Inequality Index (value),22100683.0,Low income,Africa
BDI,Burundi,Low,SSA,gii,0.505,2021,Gender Inequality Index (value),12551213.0,Low income,Africa
CPV,Cabo Verde,Medium,SSA,gii,0.349,2021,Gender Inequality Index (value),587925.0,Lower middle income,Africa
KHM,Cambodia,Medium,EAP,gii,0.461,2021,Gender Inequality Index (value),16589023.0,Lower middle income,Asia
CMR,Cameroon,Medium,SSA,gii,0.565,2021,Gender Inequality Index (value),27198628.0,Lower middle income,Africa
CAN,Canada,Very High,,gii,0.069,2021,Gender Inequality Index (value),38246108.0,High income,America
CAF,Central African Republic,Low,SSA,gii,0.672,2021,Gender Inequality Index (value),5457154.0,Low income,Africa
TCD,Chad,Low,SSA,gii,0.652,2021,Gender Inequality Index (value),17179740.0,Low income,Africa
CHL,Chile,Very High,LAC,gii,0.187,2021,Gender Inequality Index (value),19493184.0,High income,America
CHN,China,High,EAP,gii,0.192,2021,Gender Inequality Index (value),1412360000.0,Upper middle income,Asia
COL,Colombia,High,LAC,gii,0.424,2021,Gender Inequality Index (value),51516562.0,Upper middle income,America
COG,Congo,Medium,SSA,gii,0.564,2021,Gender Inequality Index (value),5835806.0,Lower middle income,Africa
COD,Congo (Democratic Republic of the),Low,SSA,gii,0.601,2021,Gender Inequality Index (value),95894118.0,Low income,Africa
CRI,Costa Rica,Very High,LAC,gii,0.256,2021,Gender Inequality Index (value),5153957.0,Upper middle income,America
HRV,Croatia,Very High,,gii,0.093,2021,Gender Inequality Index (value),3899000.0,High income,Europe
CUB,Cuba,High,LAC,gii,0.303,2021,Gender Inequality Index (value),11256372.0,Upper middle income,America
CYP,Cyprus,Very High,,gii,0.123,2021,Gender Inequality Index (value),1244188.0,High income,Asia
CZE,Czechia,Very High,,gii,0.12,2021,Gender Inequality Index (value),10505772.0,High income,Europe
CIV,C̫te d'Ivoire,Medium,SSA,gii,0.613,2021,Gender Inequality Index (value),27478249.0,Lower middle income,Africa
DNK,Denmark,Very High,,gii,0.013,2021,Gender Inequality Index (value),5856733.0,High income,Europe
DOM,Dominican Republic,High,LAC,gii,0.429,2021,Gender Inequality Index (value),11117873.0,Upper middle income,America
ECU,Ecuador,High,LAC,gii,0.362,2021,Gender Inequality Index (value),17797737.0,Upper middle income,America
EGY,Egypt,High,AS,gii,0.443,2021,Gender Inequality Index (value),109262178.0,Lower middle income,Africa
SLV,El Salvador,Medium,LAC,gii,0.376,2021,Gender Inequality Index (value),6314167.0,Lower middle income,America
EST,Estonia,Very High,,gii,0.1,2021,Gender Inequality Index (value),1330932.0,High income,Europe
SWZ,Eswatini (Kingdom of),Medium,SSA,gii,0.54,2021,Gender Inequality Index (value),1192271.0,Lower middle income,Africa
ETH,Ethiopia,Low,SSA,gii,0.52,2021,Gender Inequality Index (value),120283026.0,Low income,Africa
FJI,Fiji,High,EAP,gii,0.318,2021,Gender Inequality Index (value),924610.0,Upper middle income,Oceania
FIN,Finland,Very High,,gii,0.033,2021,Gender Inequality Index (value),5541017.0,High income,Europe
FRA,France,Very High,,gii,0.083,2021,Gender Inequality Index (value),67749632.0,High income,Europe
GAB,Gabon,High,SSA,gii,0.541,2021,Gender Inequality Index (value),2341179.0,Upper middle income,Africa
GMB,Gambia,Low,SSA,gii,0.611,2021,Gender Inequality Index (value),2639916.0,Low income,Africa
GEO,Georgia,Very High,ECA,gii,0.28,2021,Gender Inequality Index (value),3708610.0,Upper middle income,Asia
DEU,Germany,Very High,,gii,0.073,2021,Gender Inequality Index (value),83196078.0,High income,Europe
GHA,Ghana,Medium,SSA,gii,0.529,2021,Gender Inequality Index (value),32833031.0,Lower middle income,Africa
GRC,Greece,Very High,,gii,0.119,2021,Gender Inequality Index (value),10641221.0,High income,Europe
GTM,Guatemala,Medium,LAC,gii,0.481,2021,Gender Inequality Index (value),17109746.0,Upper middle income,America
GIN,Guinea,Low,SSA,gii,0.621,2021,Gender Inequality Index (value),13531906.0,Low income,Africa
GNB,Guinea-Bissau,Low,SSA,gii,0.627,2021,Gender Inequality Index (value),2060721.0,Low income,Africa
GUY,Guyana,High,LAC,gii,0.454,2021,Gender Inequality Index (value),804567.0,Upper middle income,America
HTI,Haiti,Low,LAC,gii,0.635,2021,Gender Inequality Index (value),11447569.0,Lower middle income,America
HND,Honduras,Medium,LAC,gii,0.431,2021,Gender Inequality Index (value),10278345.0,Lower middle income,America
HUN,Hungary,Very High,,gii,0.221,2021,Gender Inequality Index (value),9709891.0,High income,Europe
ISL,Iceland,Very High,,gii,0.043,2021,Gender Inequality Index (value),372520.0,High income,Europe
IND,India,Medium,SA,gii,0.49,2021,Gender Inequality Index (value),1407563842.0,Lower middle income,Asia
IDN,Indonesia,High,EAP,gii,0.444,2021,Gender Inequality Index (value),273753191.0,Lower middle income,Asia
IRN,Iran (Islamic Republic of),High,SA,gii,0.459,2021,Gender Inequality Index (value),87923432.0,Lower middle income,Asia
IRQ,Iraq,Medium,AS,gii,0.558,2021,Gender Inequality Index (value),43533592.0,Upper middle income,Asia
IRL,Ireland,Very High,,gii,0.074,2021,Gender Inequality Index (value),5033165.0,High income,Europe
ISR,Israel,Very High,,gii,0.083,2021,Gender Inequality Index (value),9364000.0,High income,Asia
ITA,Italy,Very High,,gii,0.056,2021,Gender Inequality Index (value),59109668.0,High income,Europe
JAM,Jamaica,High,LAC,gii,0.335,2021,Gender Inequality Index (value),2827695.0,Upper middle income,America
JPN,Japan,Very High,,gii,0.083,2021,Gender Inequality Index (value),125681593.0,High income,Asia
JOR,Jordan,High,AS,gii,0.471,2021,Gender Inequality Index (value),11148278.0,Upper middle income,Asia
KAZ,Kazakhstan,Very High,ECA,gii,0.161,2021,Gender Inequality Index (value),19000988.0,Upper middle income,Asia
KEN,Kenya,Medium,SSA,gii,0.506,2021,Gender Inequality Index (value),53005614.0,Lower middle income,Africa
KOR,Korea (Republic of),Very High,,gii,0.067,2021,Gender Inequality Index (value),51744876.0,High income,Asia
KWT,Kuwait,Very High,AS,gii,0.305,2021,Gender Inequality Index (value),4250114.0,High income,Asia
KGZ,Kyrgyzstan,Medium,ECA,gii,0.37,2021,Gender Inequality Index (value),6691800.0,Lower middle income,Asia
LAO,Lao People's Democratic Republic,Medium,EAP,gii,0.478,2021,Gender Inequality Index (value),7425057.0,Lower middle income,Asia
LVA,Latvia,Very High,,gii,0.151,2021,Gender Inequality Index (value),1884490.0,High income,Europe
LBN,Lebanon,High,AS,gii,0.432,2021,Gender Inequality Index (value),5592631.0,Lower middle income,Asia
LSO,Lesotho,Low,SSA,gii,0.557,2021,Gender Inequality Index (value),2281454.0,Lower middle income,Africa
LBR,Liberia,Low,SSA,gii,0.648,2021,Gender Inequality Index (value),5193416.0,Low income,Africa
LBY,Libya,High,AS,gii,0.259,2021,Gender Inequality Index (value),6735277.0,Upper middle income,Africa
LTU,Lithuania,Very High,,gii,0.105,2021,Gender Inequality Index (value),2800839.0,High income,Europe
LUX,Luxembourg,Very High,,gii,0.044,2021,Gender Inequality Index (value),640064.0,High income,Europe
MDG,Madagascar,Low,SSA,gii,0.556,2021,Gender Inequality Index (value),28915653.0,Low income,Africa
MWI,Malawi,Low,SSA,gii,0.554,2021,Gender Inequality Index (value),19889742.0,Low income,Africa
MYS,Malaysia,Very High,EAP,gii,0.228,2021,Gender Inequality Index (value),33573874.0,Upper middle income,Asia
MDV,Maldives,High,SA,gii,0.348,2021,Gender Inequality Index (value),521457.0,Upper middle income,Asia
MLI,Mali,Low,SSA,gii,0.613,2021,Gender Inequality Index (value),21904983.0,Low income,Africa
MLT,Malta,Very High,,gii,0.167,2021,Gender Inequality Index (value),518536.0,High income,Europe
MRT,Mauritania,Medium,SSA,gii,0.632,2021,Gender Inequality Index (value),4614974.0,Lower middle income,Africa
MUS,Mauritius,Very High,SSA,gii,0.347,2021,Gender Inequality Index (value),1266060.0,Upper middle income,Africa
MEX,Mexico,High,LAC,gii,0.309,2021,Gender Inequality Index (value),126705138.0,Upper middle income,America
MDA,Moldova (Republic of),High,ECA,gii,0.205,2021,Gender Inequality Index (value),2615199.0,Upper middle income,Europe
MNG,Mongolia,High,EAP,gii,0.313,2021,Gender Inequality Index (value),3347782.0,Lower middle income,Asia
MNE,Montenegro,Very High,ECA,gii,0.119,2021,Gender Inequality Index (value),619211.0,Upper middle income,Europe
MAR,Morocco,Medium,AS,gii,0.425,2021,Gender Inequality Index (value),37076584.0,Lower middle income,Africa
MOZ,Mozambique,Low,SSA,gii,0.537,2021,Gender Inequality Index (value),32077072.0,Low income,Africa
MMR,Myanmar,Medium,EAP,gii,0.498,2021,Gender Inequality Index (value),53798084.0,Lower middle income,Asia
NAM,Namibia,Medium,SSA,gii,0.445,2021,Gender Inequality Index (value),2530151.0,Upper middle income,Africa
NPL,Nepal,Medium,SA,gii,0.452,2021,Gender Inequality Index (value),30034989.0,Lower middle income,Asia
NLD,Netherlands,Very High,,gii,0.025,2021,Gender Inequality Index (value),17533044.0,High income,Europe
NZL,New Zealand,Very High,,gii,0.088,2021,Gender Inequality Index (value),5122600.0,High income,Oceania
NIC,Nicaragua,Medium,LAC,gii,0.424,2021,Gender Inequality Index (value),6850540.0,Lower middle income,America
NER,Niger,Low,SSA,gii,0.611,2021,Gender Inequality Index (value),25252722.0,Low income,Africa
NGA,Nigeria,Low,SSA,gii,0.68,2021,Gender Inequality Index (value),213401323.0,Lower middle income,Africa
MKD,North Macedonia,High,ECA,gii,0.134,2021,Gender Inequality Index (value),2065092.0,Upper middle income,Europe
NOR,Norway,Very High,,gii,0.016,2021,Gender Inequality Index (value),5408320.0,High income,Europe
OMN,Oman,Very High,AS,gii,0.3,2021,Gender Inequality Index (value),4520471.0,High income,Asia
PAK,Pakistan,Low,SA,gii,0.534,2021,Gender Inequality Index (value),231402117.0,Lower middle income,Asia
PAN,Panama,Very High,LAC,gii,0.392,2021,Gender Inequality Index (value),4351267.0,High income,America
PNG,Papua New Guinea,Medium,EAP,gii,0.725,2021,Gender Inequality Index (value),9949437.0,Lower middle income,Oceania
PRY,Paraguay,High,LAC,gii,0.445,2021,Gender Inequality Index (value),6703799.0,Upper middle income,America
PER,Peru,High,LAC,gii,0.38,2021,Gender Inequality Index (value),33715471.0,Upper middle income,America
PHL,Philippines,Medium,EAP,gii,0.419,2021,Gender Inequality Index (value),113880328.0,Lower middle income,Asia
POL,Poland,Very High,,gii,0.109,2021,Gender Inequality Index (value),37747124.0,High income,Europe
PRT,Portugal,Very High,,gii,0.067,2021,Gender Inequality Index (value),10325147.0,High income,Europe
QAT,Qatar,Very High,AS,gii,0.22,2021,Gender Inequality Index (value),2688235.0,High income,Asia
ROU,Romania,Very High,,gii,0.282,2021,Gender Inequality Index (value),19119880.0,High income,Europe
RUS,Russian Federation,Very High,,gii,0.203,2021,Gender Inequality Index (value),143449286.0,Upper middle income,Europe
RWA,Rwanda,Low,SSA,gii,0.388,2021,Gender Inequality Index (value),13461888.0,Low income,Africa
LCA,Saint Lucia,High,LAC,gii,0.381,2021,Gender Inequality Index (value),179651.0,Upper middle income,America
VCT,Saint Vincent and the Grenadines,High,LAC,gii,0.39,2021,Gender Inequality Index (value),104332.0,Upper middle income,America
WSM,Samoa,High,EAP,gii,0.418,2021,Gender Inequality Index (value),218764.0,Lower middle income,Oceania
STP,Sao Tome and Principe,Medium,SSA,gii,0.494,2021,Gender Inequality Index (value),223107.0,Lower middle income,Africa
SAU,Saudi Arabia,Very High,AS,gii,0.247,2021,Gender Inequality Index (value),35950396.0,High income,Asia
SEN,Senegal,Low,SSA,gii,0.53,2021,Gender Inequality Index (value),16876720.0,Lower middle income,Africa
SRB,Serbia,Very High,ECA,gii,0.131,2021,Gender Inequality Index (value),6834326.0,Upper middle income,Europe
SLE,Sierra Leone,Low,SSA,gii,0.633,2021,Gender Inequality Index (value),8420641.0,Low income,Africa
SGP,Singapore,Very High,EAP,gii,0.04,2021,Gender Inequality Index (value),5453566.0,High income,Asia
SVK,Slovakia,Very High,,gii,0.18,2021,Gender Inequality Index (value),5447247.0,High income,Europe
SVN,Slovenia,Very High,,gii,0.071,2021,Gender Inequality Index (value),2108079.0,High income,Europe
ZAF,South Africa,High,SSA,gii,0.405,2021,Gender Inequality Index (value),59392255.0,Upper middle income,Africa
SSD,South Sudan,Low,SSA,gii,0.587,2021,Gender Inequality Index (value),10748272.0,Low income,Africa
ESP,Spain,Very High,,gii,0.057,2021,Gender Inequality Index (value),47415750.0,High income,Europe
LKA,Sri Lanka,High,SA,gii,0.383,2021,Gender Inequality Index (value),22156000.0,Lower middle income,Asia
SDN,Sudan,Low,AS,gii,0.553,2021,Gender Inequality Index (value),45657202.0,Low income,Africa
SUR,Suriname,High,LAC,gii,0.427,2021,Gender Inequality Index (value),612985.0,Upper middle income,America
SWE,Sweden,Very High,,gii,0.023,2021,Gender Inequality Index (value),10415811.0,High income,Europe
CHE,Switzerland,Very High,,gii,0.018,2021,Gender Inequality Index (value),8703405.0,High income,Europe
SYR,Syrian Arab Republic,Medium,AS,gii,0.477,2021,Gender Inequality Index (value),21324367.0,Low income,Asia
TJK,Tajikistan,Medium,ECA,gii,0.285,2021,Gender Inequality Index (value),9750064.0,Lower middle income,Asia
TZA,Tanzania (United Republic of),Low,SSA,gii,0.56,2021,Gender Inequality Index (value),63588334.0,Lower middle income,Africa
THA,Thailand,Very High,EAP,gii,0.333,2021,Gender Inequality Index (value),71601103.0,Upper middle income,Asia
TLS,Timor-Leste,Medium,EAP,gii,0.378,2021,Gender Inequality Index (value),1320942.0,Lower middle income,Asia
TGO,Togo,Low,SSA,gii,0.58,2021,Gender Inequality Index (value),8644829.0,Low income,Africa
TON,Tonga,High,EAP,gii,0.631,2021,Gender Inequality Index (value),106017.0,Upper middle income,Oceania
TTO,Trinidad and Tobago,Very High,LAC,gii,0.344,2021,Gender Inequality Index (value),1525663.0,High income,America
TUN,Tunisia,High,AS,gii,0.259,2021,Gender Inequality Index (value),12262946.0,Lower middle income,Africa
TUR,Turkey,Very High,ECA,gii,0.272,2021,Gender Inequality Index (value),84775404.0,Upper middle income,Asia
TKM,Turkmenistan,High,ECA,gii,0.177,2021,Gender Inequality Index (value),6341855.0,Upper middle income,Asia
UGA,Uganda,Low,SSA,gii,0.53,2021,Gender Inequality Index (value),45853778.0,Low income,Africa
UKR,Ukraine,High,ECA,gii,0.2,2021,Gender Inequality Index (value),43792855.0,Lower middle income,Europe
ARE,United Arab Emirates,Very High,AS,gii,0.049,2021,Gender Inequality Index (value),9365145.0,High income,Asia
GBR,United Kingdom,Very High,,gii,0.098,2021,Gender Inequality Index (value),67326569.0,High income,Europe
USA,United States,Very High,,gii,0.179,2021,Gender Inequality Index (value),331893745.0,High income,America
URY,Uruguay,Very High,LAC,gii,0.235,2021,Gender Inequality Index (value),3426260.0,High income,America
UZB,Uzbekistan,High,ECA,gii,0.227,2021,Gender Inequality Index (value),34915100.0,Lower middle income,Asia
VEN,Venezuela (Bolivarian Republic of),Medium,LAC,gii,0.492,2021,Gender Inequality Index (value),28199867.0,,America
VNM,Viet Nam,High,EAP,gii,0.296,2021,Gender Inequality Index (value),97468029.0,Lower middle income,Asia
YEM,Yemen,Low,AS,gii,0.82,2021,Gender Inequality Index (value),32981641.0,Low income,Asia
ZMB,Zambia,Medium,SSA,gii,0.54,2021,Gender Inequality Index (value),19473125.0,Low income,Africa
ZWE,Zimbabwe,Medium,SSA,gii,0.532,2021,Gender Inequality Index (value),15993524.0,Lower middle income,Africa
